State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
MH,Solapur,4315527,210466,5551,204364,629266,2242339,690069
MH,Thane,11060148,610128,11462,597141,1229625,5484839,2751182
MH,Wardha,1296157,57344,1217,55956,52365,755863,314899
MH,Washim,1196714,41663,637,41020,0,579042,321710
MH,Yavatmal,2775457,75967,1798,74159,141551,1211321,496306
ML,East Garo Hills,317618,1867,13,1844,0,47655,20648
ML,East Jaintia Hills,122436,2430,31,2395,0,64432,33259
ML,East Khasi Hills,824059,41025,987,39754,0,318381,225526
ML,North Garo Hills,118325,1685,8,1674,0,62675,28288
ML,Ribhoi,258380,9697,89,9584,0,92049,48460
ML,South Garo Hills,142574,1216,12,1203,0,40103,18937
ML,South West Garo Hills,172495,1872,17,1852,0,73397,39210
ML,South West Khasi Hills,110152,2548,17,2525,0,33372,17117
ML,West Garo Hills,642923,9027,72,8943,0,209662,119725
ML,West Jaintia Hills,270352,6803,133,6642,0,84529,47646
ML,West Khasi Hills,385601,5457,71,5330,0,77018,43000
MN,Bishnupur,240363,0,0,0,0,128902,64791
MN,Chandel,144028,0,0,0,0,26634,15197
MN,Churachandpur,271274,0,0,0,13542,104247,62208
MN,Imphal East,452661,0,0,0,0,251626,148953
MN,Imphal West,514683,0,0,0,0,308782,199404
MN,Jiribam,43818,0,0,0,0,27911,17262
MN,Kakching,135481,0,0,0,0,84702,49653
MN,Kamjong,45616,0,0,0,0,10502,5370
MN,Kangpokpi,45616,0,0,0,0,39027,19015
MN,Noney,45616,0,0,0,0,16798,9819
MN,Pherzawl,47250,0,0,0,0,12417,9888
MN,Senapati,354772,0,0,0,0,28247,18288
MN,Tamenglong,140143,0,0,0,0,19931,10361
MN,Tengnoupal,140143,0,0,0,0,26209,12163
MN,Thoubal,420517,0,0,0,0,141308,62279
MN,Ukhrul,183115,0,0,0,0,22193,14759
MP,Agar Malwa,183115,3303,68,3235,0,424846,128822
MP,Alirajpur,728677,3505,48,3453,0,369571,114601
MP,Anuppur,749521,9238,89,9140,3424,481238,164712
MP,Ashoknagar,844979,3670,57,3613,55792,550087,186066
MP,Balaghat,1701156,9100,64,9017,9654,1278183,549643
MP,Barwani,1385659,8366,90,8267,41588,788872,225336
MP,Betul,1575247,12905,277,12590,68036,1042931,343674
