State,Date,delta7_Confirmed,delta7_Deceased,delta7_Recovered,delta7_Vaccinated1,delta7_Vaccinated2
AP,2020-11-04,18434,101,23517,0,0
AP,2020-11-05,18274,98,22566,0,0
AP,2020-11-06,17798,92,21395,0,0
AP,2020-11-07,17382,89,20434,0,0
AP,2020-11-08,17001,85,19181,0,0
AP,2020-11-09,16477,83,17697,0,0
AP,2020-11-10,15514,80,16148,0,0
AP,2020-11-11,14769,84,15208,0,0
AP,2020-11-12,13752,80,14693,0,0
AP,2020-11-13,12935,79,14419,0,0
AP,2020-11-14,12225,75,13827,0,0
AP,2020-11-15,11044,77,13711,0,0
AP,2020-11-16,10405,79,13669,0,0
AP,2020-11-17,9914,76,13811,0,0
AP,2020-11-18,9418,71,13746,0,0
AP,2020-11-19,9006,73,13790,0,0
AP,2020-11-20,8634,73,13441,0,0
AP,2020-11-21,8137,73,13051,0,0
AP,2020-11-22,8202,70,12542,0,0
AP,2020-11-23,7994,67,12425,0,0
AP,2020-11-24,7684,66,11579,0,0
AP,2020-11-25,7279,63,11059,0,0
AP,2020-11-26,6994,60,10319,0,0
AP,2020-11-27,6506,56,9695,0,0
AP,2020-11-28,5971,54,9116,0,0
AP,2020-11-29,5470,50,11272,0,0
AP,2020-11-30,5306,44,10816,0,0
AP,2020-12-01,4906,40,10463,0,0
AP,2020-12-02,4738,41,10446,0,0
AP,2020-12-03,4371,44,10200,0,0
AP,2020-12-04,4237,44,9908,0,0
AP,2020-12-05,4242,43,9604,0,0
AP,2020-12-06,4289,45,6731,0,0
AP,2020-12-07,4224,46,6392,0,0
AP,2020-12-08,4090,46,6042,0,0
AP,2020-12-09,4045,42,5668,0,0
AP,2020-12-10,3919,33,5391,0,0
AP,2020-12-11,3840,29,4997,0,0
AP,2020-12-12,3720,28,4780,0,0
AP,2020-12-13,3559,24,4479,0,0
AP,2020-12-14,3548,21,4425,0,0
AP,2020-12-15,3497,22,4244,0,0
AP,2020-12-16,3357,22,4174,0,0
AP,2020-12-17,3353,22,4114,0,0
AP,2020-12-18,3291,21,4129,0,0
AP,2020-12-19,3260,22,3961,0,0
AP,2020-12-20,3192,19,3937,0,0
AP,2020-12-21,3101,19,3818,0,0
AP,2020-12-22,3003,18,3667,0,0
AP,2020-12-23,2904,18,3442,0,0
AP,2020-12-24,2727,20,3299,0,0
AP,2020-12-25,2624,21,3119,0,0
AP,2020-12-26,2427,18,3064,0,0
AP,2020-12-27,2338,18,2897,0,0
AP,2020-12-28,2336,20,2885,0,0
AP,2020-12-29,2260,18,2837,0,0
AP,2020-12-30,2230,19,2819,0,0
AP,2020-12-31,2211,19,2792,0,0
AP,2021-01-01,2182,17,2788,0,0
AP,2021-01-02,2138,19,2625,0,0
AP,2021-01-03,2021,21,2555,0,0
AP,2021-01-04,1937,20,2397,0,0
AP,2021-01-05,1988,22,2311,0,0
AP,2021-01-06,1928,21,2267,0,0
AP,2021-01-07,1885,18,2307,0,0
AP,2021-01-08,1878,19,2265,0,0
AP,2021-01-09,1839,17,2409,0,0
AP,2021-01-10,1834,14,2346,0,0
AP,2021-01-11,1827,13,2307,0,0
AP,2021-01-12,1647,11,2263,0,0
AP,2021-01-13,1561,9,2066,0,0
AP,2021-01-14,1445,12,1917,0,0
AP,2021-01-15,1220,12,1841,0,0
AP,2021-01-16,1135,11,1744,18412,0
AP,2021-01-17,1069,11,1706,18412,0
AP,2021-01-18,1029,10,1756,46680,0
AP,2021-01-19,1011,9,1753,58495,0
AP,2021-01-20,981,8,1718,91778,0
AP,2021-01-21,941,4,1753,115365,0
AP,2021-01-22,984,7,1688,133298,0
AP,2021-01-23,1028,8,1534,128618,0
AP,2021-01-24,1025,7,1438,128618,0
AP,2021-01-25,1000,8,1316,109440,0
AP,2021-01-26,993,8,1288,97634,0
AP,2021-01-27,931,10,1189,71949,0
AP,2021-01-28,909,10,1063,56318,0
AP,2021-01-29,897,6,1071,45740,0
AP,2021-01-30,868,6,1046,40222,0
AP,2021-01-31,826,6,1018,40222,0
AP,2021-02-01,834,5,976,31132,0
AP,2021-02-02,766,6,920,31123,0
AP,2021-02-03,750,5,952,51444,0
AP,2021-02-04,712,5,911,71560,0
AP,2021-02-05,684,6,915,93152,0
AP,2021-02-06,630,6,901,112397,0
AP,2021-02-07,587,6,856,112397,0
AP,2021-02-08,585,6,859,127064,0
AP,2021-02-09,551,4,827,138286,0
AP,2021-02-10,506,4,819,120097,0
AP,2021-02-11,514,4,811,100570,0
AP,2021-02-12,485,4,738,79803,0
AP,2021-02-13,464,3,676,56872,5820
AP,2021-02-14,446,3,711,56872,5820
AP,2021-02-15,414,3,678,47498,14630
AP,2021-02-16,404,3,703,40985,24142
AP,2021-02-17,405,4,639,41040,35475
AP,2021-02-18,385,5,614,42957,51996
AP,2021-02-19,396,5,585,46115,71707
AP,2021-02-20,396,5,584,51414,79716
AP,2021-02-21,429,5,539,57157,83825
AP,2021-02-22,440,4,541,65630,87746
AP,2021-02-23,450,5,485,78804,87341
AP,2021-02-24,493,3,494,96152,84968
AP,2021-02-25,508,2,514,117088,78595
AP,2021-02-26,525,2,508,131499,67630
AP,2021-02-27,589,2,524,121672,53801
AP,2021-02-28,618,2,518,115929,49692
AP,2021-03-01,635,2,498,113758,40055
AP,2021-03-02,671,1,471,109203,33351
AP,2021-03-03,712,2,487,101740,27958
AP,2021-03-04,732,3,469,90227,24262
AP,2021-03-05,760,3,492,90105,26829
AP,2021-03-06,757,4,499,121702,43379
AP,2021-03-07,776,5,491,121702,43379
AP,2021-03-08,792,7,501,145203,53408
AP,2021-03-09,804,7,533,167256,63540
AP,2021-03-10,789,7,544,182393,68245
AP,2021-03-11,861,8,566,169811,62972
AP,2021-03-12,947,8,612,184632,61416
AP,2021-03-13,1007,9,651,193594,50194
AP,2021-03-14,1169,10,757,193594,50194
AP,2021-03-15,1242,9,799,231146,46426
AP,2021-03-16,1385,9,835,259033,46089
AP,2021-03-17,1518,9,879,292822,50131
AP,2021-03-18,1562,7,918,365818,58516
AP,2021-03-19,1598,7,909,412022,59839
